epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.291,1.74791,3.03042,1.96855,0.57741,0.5416,0.55127,0.1995,2.24759,1.76994,2.5034,0.00332599,0.00332599,0.00332599
2,275.078,1.77366,2.372,1.98752,0.37637,0.37538,0.30576,0.10055,2.42188,2.53025,2.65164,0.0065934,0.0065934,0.0065934
3,418.493,1.95509,2.78694,2.16588,0.21255,0.24784,0.16165,0.04944,2.50703,3.09645,2.90648,0.0097948,0.0097948,0.0097948
4,560.836,1.95967,2.94228,2.19595,0.32601,0.31803,0.23918,0.07908,2.29862,2.84548,2.68676,0.009703,0.009703,0.009703
5,702.8,1.93191,2.82319,2.1763,0.32355,0.30168,0.23247,0.08195,2.3477,2.84424,2.5928,0.009604,0.009604,0.009604
6,845.069,1.86012,2.71453,2.12378,0.40684,0.39217,0.32621,0.10944,2.26954,2.48015,2.59777,0.009505,0.009505,0.009505
7,988.737,1.83415,2.6179,2.08571,0.45403,0.40891,0.38069,0.12998,2.21609,2.32752,2.53648,0.009406,0.009406,0.009406
8,1131.54,1.79424,2.55636,2.0677,0.4352,0.45088,0.42386,0.16541,2.13165,2.23546,2.44774,0.009307,0.009307,0.009307
9,1273.67,1.78585,2.48736,2.04989,0.50475,0.41246,0.4459,0.1665,2.14696,2.20544,2.43153,0.009208,0.009208,0.009208
10,1415.05,1.74695,2.41575,2.02467,0.49733,0.43483,0.43739,0.16297,2.17311,2.20632,2.55742,0.009109,0.009109,0.009109
11,1555.86,1.73791,2.36528,2.01315,0.5434,0.44887,0.47619,0.17323,2.15426,2.05822,2.5034,0.00901,0.00901,0.00901
12,1698.99,1.71824,2.31129,1.97757,0.47896,0.47522,0.46057,0.17655,2.16732,2.0617,2.46619,0.008911,0.008911,0.008911
13,1840.96,1.69478,2.29309,1.97161,0.54561,0.51383,0.5129,0.18867,2.16068,1.96648,2.47926,0.008812,0.008812,0.008812
14,1984.66,1.68661,2.26274,1.97394,0.56229,0.46439,0.48,0.18622,2.15738,2.04522,2.54006,0.008713,0.008713,0.008713
