epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.575,1.83975,3.4685,2.08684,0.23686,0.24886,0.14494,0.04037,2.51495,3.3735,3.23707,0.000369161,0.000369161,0.000369161
2,237.01,1.98055,3.01705,2.2442,0.18783,0.22302,0.12052,0.03523,2.36995,3.14619,2.81716,0.000732174,0.000732174,0.000732174
3,348.539,1.96532,2.98503,2.2105,0.21711,0.32797,0.18879,0.06124,2.29241,3.11484,2.77818,0.00108785,0.00108785,0.00108785
4,459.564,1.89362,2.88766,2.18177,0.2974,0.30325,0.20618,0.06233,2.31045,2.67309,2.73276,0.001078,0.001078,0.001078
5,567.226,1.83975,2.79191,2.13831,0.33964,0.35455,0.26861,0.08949,2.20419,2.48888,2.64779,0.001067,0.001067,0.001067
6,674.581,1.79589,2.67436,2.08966,0.38786,0.38527,0.3087,0.11061,2.11898,2.44851,2.56026,0.00105601,0.00105601,0.00105601
7,782.912,1.78053,2.61585,2.06814,0.38825,0.35024,0.31618,0.11135,2.16455,2.33921,2.63341,0.00104501,0.00104501,0.00104501
8,890.516,1.75678,2.5599,2.04996,0.41102,0.40678,0.35217,0.12308,2.1486,2.29441,2.63013,0.00103401,0.00103401,0.00103401
9,1000.2,1.72431,2.49609,2.01876,0.42325,0.41667,0.36678,0.12495,2.14868,2.29739,2.63818,0.00102301,0.00102301,0.00102301
10,1101.37,1.70851,2.43227,2.00646,0.41767,0.40602,0.36712,0.1313,2.13889,2.24905,2.58242,0.00101201,0.00101201,0.00101201
11,1187.06,1.69423,2.41702,1.99368,0.41839,0.42852,0.36756,0.12795,2.13253,2.19783,2.59641,0.00100101,0.00100101,0.00100101
12,1296.88,1.68779,2.3654,1.98082,0.45351,0.38991,0.36344,0.12763,2.16634,2.21197,2.6752,0.000990012,0.000990012,0.000990012
13,1406.37,1.66704,2.34247,1.96821,0.46053,0.43793,0.38872,0.14195,2.1443,2.11072,2.62962,0.000979013,0.000979013,0.000979013
14,1518.56,1.63817,2.25741,1.94591,0.45087,0.43523,0.39301,0.13523,2.21136,2.09287,2.70644,0.000968014,0.000968014,0.000968014
15,1625.86,1.6435,2.26765,1.94311,0.49851,0.45146,0.43767,0.15883,2.12462,2.09579,2.60995,0.000957015,0.000957015,0.000957015
16,1744.78,1.61374,2.2041,1.93083,0.52831,0.46054,0.45475,0.16631,2.11513,1.99274,2.59858,0.000946016,0.000946016,0.000946016
17,1857.51,1.60878,2.18119,1.91425,0.51637,0.44969,0.44096,0.16028,2.19332,2.01693,2.6593,0.000935018,0.000935018,0.000935018
18,1973.19,1.61179,2.15427,1.91513,0.50942,0.46513,0.43773,0.16203,2.13878,2.02071,2.60544,0.000924019,0.000924019,0.000924019
19,2080.62,1.59622,2.12441,1.89814,0.54575,0.46452,0.46496,0.17566,2.12815,1.97913,2.61053,0.00091302,0.00091302,0.00091302
20,2195.01,1.57476,2.09564,1.89119,0.50892,0.47802,0.43937,0.15711,2.1406,1.99537,2.61203,0.000902021,0.000902021,0.000902021
21,2302.53,1.57953,2.07654,1.88003,0.49711,0.47232,0.44199,0.1649,2.17376,2.01975,2.64049,0.000891022,0.000891022,0.000891022
22,2411.95,1.57439,2.06708,1.87228,0.54944,0.46057,0.45349,0.16344,2.1916,1.99048,2.72548,0.000880023,0.000880023,0.000880023
23,2518.49,1.55483,2.00684,1.85569,0.51805,0.4743,0.47135,0.16598,2.1656,1.9634,2.63299,0.000869024,0.000869024,0.000869024
24,2625.92,1.55166,1.99922,1.85801,0.54235,0.48511,0.48368,0.1758,2.21189,1.95517,2.68852,0.000858025,0.000858025,0.000858025
25,2733.32,1.56296,2.0065,1.86514,0.55272,0.4555,0.44248,0.15364,2.18599,1.96008,2.66529,0.000847026,0.000847026,0.000847026
26,2842.06,1.53346,1.96303,1.84572,0.57487,0.48108,0.48964,0.18421,2.13547,1.92253,2.61357,0.000836027,0.000836027,0.000836027
27,2954.46,1.52509,1.95253,1.84295,0.54422,0.49848,0.47568,0.17458,2.16383,1.87711,2.65177,0.000825029,0.000825029,0.000825029
28,3061.9,1.52174,1.91549,1.83409,0.56939,0.47327,0.48937,0.18671,2.1573,1.87104,2.67922,0.00081403,0.00081403,0.00081403
29,3152.29,1.48838,1.87495,1.80589,0.59153,0.48265,0.49977,0.1851,2.1296,1.86247,2.61416,0.000803031,0.000803031,0.000803031
30,3250.61,1.49203,1.89005,1.80753,0.58052,0.49906,0.49961,0.18915,2.15099,1.83586,2.64908,0.000792032,0.000792032,0.000792032
31,3358.93,1.48411,1.84275,1.80202,0.5426,0.49162,0.48945,0.18463,2.15625,1.90515,2.66295,0.000781033,0.000781033,0.000781033
32,3467.36,1.47175,1.83966,1.79753,0.57467,0.50653,0.50337,0.1863,2.17424,1.83112,2.70862,0.000770034,0.000770034,0.000770034
33,3639.57,1.47313,1.83465,1.80289,0.57771,0.49287,0.49772,0.18572,2.16608,1.81039,2.70874,0.000759035,0.000759035,0.000759035
34,3817.09,1.44917,1.79275,1.76899,0.54639,0.4905,0.4972,0.18784,2.16804,1.80674,2.6667,0.000748036,0.000748036,0.000748036
35,3998.76,1.45569,1.78759,1.77266,0.58419,0.50324,0.51018,0.19136,2.16743,1.84065,2.66576,0.000737037,0.000737037,0.000737037
36,4180.62,1.44381,1.7712,1.76383,0.56947,0.47966,0.48356,0.17869,2.19191,1.88677,2.70434,0.000726038,0.000726038,0.000726038
37,4362.04,1.42394,1.71896,1.75569,0.59068,0.48555,0.49316,0.18327,2.19131,1.81714,2.69753,0.00071504,0.00071504,0.00071504
38,4538.52,1.42218,1.70972,1.74623,0.57963,0.49313,0.49875,0.19193,2.17437,1.82431,2.66167,0.000704041,0.000704041,0.000704041
39,4722.9,1.41783,1.69071,1.73522,0.57324,0.47626,0.49566,0.19059,2.21258,1.82133,2.74449,0.000693042,0.000693042,0.000693042
40,4903.09,1.40537,1.67459,1.73325,0.59105,0.50867,0.51138,0.19277,2.17901,1.77595,2.66353,0.000682043,0.000682043,0.000682043
41,5086,1.38888,1.63122,1.71734,0.56161,0.4923,0.49294,0.18509,2.21298,1.8174,2.76029,0.000671044,0.000671044,0.000671044
42,5269.41,1.38505,1.64088,1.72274,0.60803,0.50497,0.51616,0.1952,2.16495,1.78698,2.68552,0.000660045,0.000660045,0.000660045
43,5447.52,1.37302,1.61849,1.70943,0.55617,0.5061,0.50115,0.18386,2.21533,1.78742,2.75277,0.000649046,0.000649046,0.000649046
44,5624.73,1.36026,1.59982,1.69748,0.60954,0.50424,0.50177,0.18737,2.22012,1.80891,2.7953,0.000638047,0.000638047,0.000638047
45,5807.84,1.35412,1.58453,1.67737,0.54247,0.53552,0.49935,0.19004,2.22516,1.80225,2.79191,0.000627048,0.000627048,0.000627048
46,5980.39,1.3466,1.56658,1.68036,0.58955,0.48533,0.49545,0.18982,2.19065,1.79066,2.73724,0.000616049,0.000616049,0.000616049
47,6131,1.34206,1.54721,1.67981,0.57762,0.51814,0.52788,0.20066,2.2161,1.72947,2.78602,0.000605051,0.000605051,0.000605051
48,6310.39,1.32968,1.51628,1.66376,0.56976,0.50397,0.507,0.18889,2.23339,1.81408,2.8018,0.000594052,0.000594052,0.000594052
49,6488.97,1.32165,1.52403,1.66421,0.61261,0.50491,0.51871,0.1895,2.23166,1.76817,2.86111,0.000583053,0.000583053,0.000583053
50,6668.76,1.29835,1.47975,1.63637,0.58433,0.50911,0.5022,0.18616,2.23029,1.77483,2.84584,0.000572054,0.000572054,0.000572054
51,6851.58,1.31264,1.47915,1.65647,0.59054,0.4811,0.48837,0.18044,2.25084,1.85246,2.82373,0.000561055,0.000561055,0.000561055
52,7029.13,1.28821,1.46748,1.63026,0.58997,0.50005,0.49211,0.18673,2.23481,1.8138,2.8313,0.000550056,0.000550056,0.000550056
53,7205.12,1.2781,1.44695,1.6282,0.61827,0.49165,0.50533,0.19294,2.23987,1.78309,2.82439,0.000539057,0.000539057,0.000539057
54,7384.76,1.26998,1.41918,1.61735,0.6013,0.48745,0.50486,0.18779,2.25228,1.81521,2.89271,0.000528058,0.000528058,0.000528058
55,7564.26,1.26477,1.40528,1.60759,0.57826,0.50933,0.50496,0.19017,2.24324,1.81109,2.87319,0.000517059,0.000517059,0.000517059
56,7744.89,1.2571,1.38503,1.60226,0.65534,0.45844,0.49813,0.18826,2.25462,1.78503,2.91314,0.00050606,0.00050606,0.00050606
57,7924.26,1.2493,1.37983,1.6037,0.57296,0.51261,0.50091,0.1925,2.26758,1.78418,2.92086,0.000495062,0.000495062,0.000495062
58,8102.56,1.22711,1.34782,1.58108,0.61814,0.49378,0.50212,0.19033,2.25787,1.78513,2.95449,0.000484063,0.000484063,0.000484063
59,8280.13,1.22859,1.35123,1.57992,0.62972,0.47469,0.50909,0.18713,2.30124,1.80647,2.9602,0.000473064,0.000473064,0.000473064
60,8456.59,1.20614,1.33468,1.5641,0.59803,0.49727,0.4992,0.18737,2.29183,1.82171,2.96595,0.000462065,0.000462065,0.000462065
61,8634.6,1.20636,1.32418,1.55462,0.58944,0.50637,0.5027,0.18701,2.28521,1.79568,2.94797,0.000451066,0.000451066,0.000451066
62,8816.96,1.19332,1.27682,1.54281,0.5891,0.5189,0.49944,0.18783,2.30248,1.79275,2.98158,0.000440067,0.000440067,0.000440067
63,8993.82,1.19406,1.2991,1.54188,0.59209,0.51247,0.50406,0.1862,2.30629,1.79207,3.02546,0.000429068,0.000429068,0.000429068
